field0,field1,field2,field3
1,0.695569685965,0.629930660067,0.801877021773
2,0.306633854111,0.145220842095,0.193247042238
3,0.51687506447,0.144328265433,0.315230691199
4,0.884073279638,0.768920620233,0.196243035583
5,0.140839368566,0.385395314653,0.395061726078
6,0.875298216914,0.194587447514,0.145420489806
7,0.957910711143,0.851428462319,0.632637282893
8,0.797972348041,0.469786475762,0.172707619958
9,0.381290527445,0.504734799013,0.129006140752
10,0.689445815009,0.766181129632,0.611487320776
11,0.463330560336,0.19907927673,0.845544404989
12,0.703491971048,0.462575965715,0.761770969571
13,0.513705119486,0.956676352988,0.785872672708
14,0.368496995768,0.3582638077,0.645087511816
15,0.126090137361,0.956931655495,0.163125671463
16,0.997572116706,0.470665438495,0.000982543532831
17,0.153817473034,0.739592034407,0.285676774079
18,0.377167266757,0.4173579207,0.928343281237
19,0.949352177932,0.518910001112,0.53575394053
20,0.503709468307,0.838946450038,0.774884019158
21,0.847697915773,0.128225785767,0.972887346571
22,0.0894154109316,0.0173255149241,0.0535293256236
23,0.689436673079,0.336084034558,0.0572098252582
24,0.617291245164,0.950800049426,0.618260239426
25,0.573764423664,0.457906324121,0.15085252266
26,0.234269195045,0.629522564723,0.745816434581
27,0.452063861184,0.302266503611,0.930523761165
28,0.0669519454503,0.539061338342,0.906086744407
29,0.892990101674,0.781484215858,0.298733842731
30,0.33479361977,0.264401550659,0.632655636987
31,0.893705971895,0.984779698573,0.32830171493
32,0.536720573204,0.925255057836,0.58845129887
33,0.840769398538,0.0607244904543,0.59995044182
34,0.253096786102,0.340715613023,0.0465807373809
35,0.77199734524,0.527763000246,0.541363393009
36,0.62173759394,0.741364256362,0.483335245606
37,0.190123518706,0.724684032656,0.21360205431
38,0.922043205765,0.613189361177,0.0613165541993
39,0.861225401503,0.388046412724,0.000982809634935
40,0.475524031077,0.291348709219,0.481529768225
41,0.269343356051,0.980215824385,0.790716786931
42,0.295840224986,0.0975058902244,0.702244982435
43,0.432890938173,0.679020186189,0.92912353614
